system,hardware,profile,stage,stage_name,required_optional,intended_targets,actual_targets,intended_backend,actual_backend,workers_intended,workers_actual,isa_intended,isa_actual,utilization_pressure_expectation,measured_utilization_pressure,allocation_expectation,achieved_allocation,verification_expectation,verification_achieved,intended_duration_seconds,actual_sustained_duration_seconds,lvs_reported_verdict,independent_acceptance_status,confidence,issue_root_cause,rerun_required,notes_evidence_paths
Ryzen 7 5700G / Radeon Renoir / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:01:00.0; AMD Radeon Graphics [integrated] 0000:07:00.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_ram_dgpu,Combined RAM and dGPU Dedicated Memory,required,discrete_all,NVIDIA GeForce RTX 5090,memory:native; vram:vulkan,python_vulkan_compute,one per selected GPU / one memory worker as configured,2,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,"memory used median=29.01 GiB, max=29.04 GiB",memory=80%; vram=90%,gpu assigned=30771825868 achieved=30771829760 ratio=1.0,durable backend-specific verification/readback/integrity evidence,NVIDIA GeForce RTX 5090:passes=1552 failures=0,600,602.3790662629999,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-07-11_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Ryzen 7 5700G / Radeon Renoir / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:01:00.0; AMD Radeon Graphics [integrated] 0000:07:00.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_igpu_dgpu,Combined iGPU and dGPU Compute,required,all,NVIDIA GeForce RTX 5090; AMD Radeon Graphics (RADV RENOIR),gpu_3d:vulkan_compute,python_vulkan_compute,one per selected GPU / one memory worker as configured,2,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,N/A,gpu assigned=1073741824 achieved=1073745920 ratio=1.0; gpu assigned=50331648 achieved=50335744 ratio=1.0,durable backend-specific verification/readback/integrity evidence,NVIDIA GeForce RTX 5090:passes=3158 failures=0 | AMD Radeon Graphics (RADV RENOIR):passes=4837 failures=0,600,601.102353585,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-07-11_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Ryzen 7 5700G / Radeon Renoir / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:01:00.0; AMD Radeon Graphics [integrated] 0000:07:00.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_ram_all_gpu_memory,Combined RAM iGPU and dGPU Memory,required,all,NVIDIA GeForce RTX 5090; AMD Radeon Graphics (RADV RENOIR),memory:native; vram:vulkan,python_vulkan_compute,one per selected GPU / one memory worker as configured,3,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,"memory used median=23.41 GiB, max=23.48 GiB",memory=70%; vram=70%,gpu assigned=23933642342 achieved=23933645824 ratio=1.0; gpu assigned=6977713729 achieved=483187712 ratio=0.069247,durable backend-specific verification/readback/integrity evidence,NVIDIA GeForce RTX 5090:passes=1726 failures=0 | AMD Radeon Graphics (RADV RENOIR):passes=2344 failures=0,600,603.2310864409992,fail,FAILED,High,AMD APU stateful worker achieved only 6.9-7.4% after carved-out VRAM capped the shared assignment,Yes,results/2026-08-13_14-07-11_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Ryzen 7 5700G / Radeon Renoir / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:01:00.0; AMD Radeon Graphics [integrated] 0000:07:00.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_full,Combined Full CPU RAM iGPU and dGPU,required,all+all,"CPU 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15; AMD Radeon Graphics (RADV RENOIR); NVIDIA GeForce RTX 5090",cpu:native; memory:native; gpu_3d:vulkan_compute; vram:vulkan,python_vulkan_compute,16,4,auto,resolved common-safe/native evidence in manifest,near-full target CPU saturation,"aggregate median=100.00%, p10=100.00%, min=100.00%, lowest logical median=100.00%",memory=70%; vram=70%,gpu assigned=50331648 achieved=50335744 ratio=1.0; gpu assigned=23933642342 achieved=23933645824 ratio=1.0,durable backend-specific verification/readback/integrity evidence,AMD Radeon Graphics (RADV RENOIR):passes=3149 failures=0 | NVIDIA GeForce RTX 5090:passes=2712 failures=0,600,602.8351949199996,pass,"PARTIALLY EXECUTED, NOT VALIDATED",High,"CPU/RAM/discrete GPU and APU compute ran, but required AMD shared-stateful allocation was omitted",Yes,results/2026-08-13_14-07-11_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core Ultra 9 285K / Intel ARL / Radeon AI PRO R9700,AMD Radeon AI PRO R9700 [discrete] 0000:04:00.0; Mesa Intel(R) Graphics (ARL) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_cpu_stress_ng,CPU stress-ng Verified Saturation,required,logical CPU set,"CPU 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",cpu:stress_ng,stress_ng,24,1,auto,resolved common-safe/native evidence in manifest,near-full target CPU saturation,"aggregate median=100.00%, p10=100.00%, min=92.48%, lowest logical median=100.00%",N/A,N/A,durable backend-specific verification/readback/integrity evidence,"stress_ng:passed=24 failed=0 metrics=[{'bogo_ops': 47118700, 'bogo_ops_per_second_cpu': 3286.97, 'bogo_ops_per_second_real': 78523.73, 'real_time_seconds': 600.06, 'stressor': 'cpu', 'system_time_seconds': 0.56, 'user_time_seconds': 14334.44}]",600,600.0752538170054,pass,VALIDATED,High,"Verified worker progress, complete affinity/worker counts, and near-full measured CPU saturation",No,results/2026-08-13_14-10-33_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core Ultra 9 285K / Intel ARL / Radeon AI PRO R9700,AMD Radeon AI PRO R9700 [discrete] 0000:04:00.0; Mesa Intel(R) Graphics (ARL) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_cpu_python,CPU Python Verified Saturation,required,logical CPU set,"CPU 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",cpu:python_fallback,python_fallback,24,1,auto,resolved common-safe/native evidence in manifest,near-full target CPU saturation,"aggregate median=100.00%, p10=100.00%, min=100.00%, lowest logical median=100.00%",N/A,N/A,durable backend-specific verification/readback/integrity evidence,python_fallback:passes=392231 failures=0,600,600.4327654919907,pass,VALIDATED,High,"Verified worker progress, complete affinity/worker counts, and near-full measured CPU saturation",No,results/2026-08-13_14-10-33_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core Ultra 9 285K / Intel ARL / Radeon AI PRO R9700,AMD Radeon AI PRO R9700 [discrete] 0000:04:00.0; Mesa Intel(R) Graphics (ARL) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_ram_stress_ng,RAM stress-ng Verification Evidence,required,system RAM,none recorded,memory:stress_ng,none recorded,one per selected GPU / one memory worker as configured,0,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,"memory used median=82.81 GiB, max=82.94 GiB",memory=80%,N/A,durable backend-specific verification/readback/integrity evidence,none,600,605.1415786239959,pass,UNPROVEN DUE TO INSUFFICIENT EVIDENCE,High,Pressure was real but stress-ng was killed before final verified metrics were ingested,Yes,results/2026-08-13_14-10-33_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core Ultra 9 285K / Intel ARL / Radeon AI PRO R9700,AMD Radeon AI PRO R9700 [discrete] 0000:04:00.0; Mesa Intel(R) Graphics (ARL) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_ram_python,RAM Python Integrity Evidence,required,system RAM,none recorded,memory:python_fallback,python_fallback,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,"memory used median=7.59 GiB, max=82.31 GiB",memory=80%,memory assigned=80055209984 achieved=80055209984 ratio=1.0,durable backend-specific verification/readback/integrity evidence,python_fallback:passes=16 failures=19544729,600,600.6679592810106,fail,FAILED,High,Deterministic false mismatch when rewrite pattern reached byte value zero,Yes,results/2026-08-13_14-10-33_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core Ultra 9 285K / Intel ARL / Radeon AI PRO R9700,AMD Radeon AI PRO R9700 [discrete] 0000:04:00.0; Mesa Intel(R) Graphics (ARL) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_igpu_compute,Integrated GPU Vulkan Compute,required,integrated_all,Intel(R) Graphics (ARL),gpu_3d:vulkan_compute,python_vulkan_compute,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,N/A,gpu assigned=100663296 achieved=100667392 ratio=1.0,durable backend-specific verification/readback/integrity evidence,Intel(R) Graphics (ARL):passes=1622 failures=0,600,600.3860983460036,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-10-33_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core Ultra 9 285K / Intel ARL / Radeon AI PRO R9700,AMD Radeon AI PRO R9700 [discrete] 0000:04:00.0; Mesa Intel(R) Graphics (ARL) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_igpu_transfer,Integrated GPU Vulkan Transfer,required,integrated_all,Intel(R) Graphics (ARL),gpu_3d:vulkan,python_vulkan_transfer,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,N/A,gpu assigned=117440512 achieved=234881024 ratio=1.0,durable backend-specific verification/readback/integrity evidence,Intel(R) Graphics (ARL):passes=18390 failures=0,600,618.1036103579972,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-10-33_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core Ultra 9 285K / Intel ARL / Radeon AI PRO R9700,AMD Radeon AI PRO R9700 [discrete] 0000:04:00.0; Mesa Intel(R) Graphics (ARL) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_igpu_stateful,Integrated GPU Vulkan Stateful Shared Memory,required,integrated_all,Intel(R) Graphics (ARL),gpu_3d:vulkan_compute,python_vulkan_compute,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,gpu_3d=80%,gpu assigned=60404261683 achieved=60404264960 ratio=1.0,durable backend-specific verification/readback/integrity evidence,Intel(R) Graphics (ARL):passes=110 failures=0,600,601.2105740550032,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-10-33_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core Ultra 9 285K / Intel ARL / Radeon AI PRO R9700,AMD Radeon AI PRO R9700 [discrete] 0000:04:00.0; Mesa Intel(R) Graphics (ARL) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_dgpu_compute,Discrete GPU Vulkan Compute,required,discrete_all,AMD Radeon AI PRO R9700 (RADV GFX1201),gpu_3d:vulkan_compute,python_vulkan_compute,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,N/A,gpu assigned=1073741824 achieved=1073745920 ratio=1.0,durable backend-specific verification/readback/integrity evidence,AMD Radeon AI PRO R9700 (RADV GFX1201):passes=731 failures=0,600,600.976452679999,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-10-33_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core Ultra 9 285K / Intel ARL / Radeon AI PRO R9700,AMD Radeon AI PRO R9700 [discrete] 0000:04:00.0; Mesa Intel(R) Graphics (ARL) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_dgpu_transfer,Discrete GPU Vulkan Transfer,required,discrete_all,AMD Radeon AI PRO R9700 (RADV GFX1201),gpu_3d:vulkan,python_vulkan_transfer,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,N/A,gpu assigned=402653184 achieved=805306368 ratio=1.0,durable backend-specific verification/readback/integrity evidence,AMD Radeon AI PRO R9700 (RADV GFX1201):passes=9806 failures=0,600,601.091597777995,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-10-33_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core Ultra 9 285K / Intel ARL / Radeon AI PRO R9700,AMD Radeon AI PRO R9700 [discrete] 0000:04:00.0; Mesa Intel(R) Graphics (ARL) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_dgpu_stateful,Discrete GPU Vulkan Stateful Dedicated Memory,required,discrete_all,AMD Radeon AI PRO R9700 (RADV GFX1201),gpu_3d:vulkan_compute,python_vulkan_compute,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,gpu_3d=90%,gpu assigned=30787866624 achieved=30787870720 ratio=1.0,durable backend-specific verification/readback/integrity evidence,AMD Radeon AI PRO R9700 (RADV GFX1201):passes=1843 failures=0,600,600.3916704789881,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-10-33_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core Ultra 9 285K / Intel ARL / Radeon AI PRO R9700,AMD Radeon AI PRO R9700 [discrete] 0000:04:00.0; Mesa Intel(R) Graphics (ARL) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_ram_igpu,Combined RAM and iGPU Shared Memory,required,integrated_all,Intel(R) Graphics (ARL),memory:native; gpu_3d:vulkan_compute,python_vulkan_compute,one per selected GPU / one memory worker as configured,2,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,"memory used median=92.03 GiB, max=92.13 GiB",memory=70%; gpu_3d=70%,gpu assigned=38906411886 achieved=38906415104 ratio=1.0,durable backend-specific verification/readback/integrity evidence,Intel(R) Graphics (ARL):passes=71 failures=0,600,601.7413613079989,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-10-33_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core Ultra 9 285K / Intel ARL / Radeon AI PRO R9700,AMD Radeon AI PRO R9700 [discrete] 0000:04:00.0; Mesa Intel(R) Graphics (ARL) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_ram_dgpu,Combined RAM and dGPU Dedicated Memory,required,discrete_all,AMD Radeon AI PRO R9700 (RADV GFX1201),memory:native; vram:vulkan,python_vulkan_compute,one per selected GPU / one memory worker as configured,2,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,"memory used median=82.46 GiB, max=82.62 GiB",memory=80%; vram=90%,gpu assigned=30787869081 achieved=30787872768 ratio=1.0,durable backend-specific verification/readback/integrity evidence,AMD Radeon AI PRO R9700 (RADV GFX1201):passes=1776 failures=0,600,601.9949548049917,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-10-33_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core Ultra 9 285K / Intel ARL / Radeon AI PRO R9700,AMD Radeon AI PRO R9700 [discrete] 0000:04:00.0; Mesa Intel(R) Graphics (ARL) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_igpu_dgpu,Combined iGPU and dGPU Compute,required,all,Intel(R) Graphics (ARL); AMD Radeon AI PRO R9700 (RADV GFX1201),gpu_3d:vulkan_compute,python_vulkan_compute,one per selected GPU / one memory worker as configured,2,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,N/A,gpu assigned=100663296 achieved=100667392 ratio=1.0; gpu assigned=1073741824 achieved=1073745920 ratio=1.0,durable backend-specific verification/readback/integrity evidence,Intel(R) Graphics (ARL):passes=1534 failures=0 | AMD Radeon AI PRO R9700 (RADV GFX1201):passes=690 failures=0,600,600.6784893430013,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-10-33_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core Ultra 9 285K / Intel ARL / Radeon AI PRO R9700,AMD Radeon AI PRO R9700 [discrete] 0000:04:00.0; Mesa Intel(R) Graphics (ARL) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_ram_all_gpu_memory,Combined RAM iGPU and dGPU Memory,required,all,Intel(R) Graphics (ARL); AMD Radeon AI PRO R9700 (RADV GFX1201),memory:native; vram:vulkan,python_vulkan_compute,one per selected GPU / one memory worker as configured,3,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,"memory used median=92.61 GiB, max=92.87 GiB",memory=70%; vram=70%,gpu assigned=39240552318 achieved=39240555520 ratio=1.0; gpu assigned=23946120396 achieved=23946124288 ratio=1.0,durable backend-specific verification/readback/integrity evidence,Intel(R) Graphics (ARL):passes=71 failures=0 | AMD Radeon AI PRO R9700 (RADV GFX1201):passes=2255 failures=0,600,601.3671026309894,warning,VALIDATED WITH EXPLAINED WARNING,High,Complete verified concurrency; runtime-guard/thermal warning did not reach emergency or invalidate allocation,No,results/2026-08-13_14-10-33_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core Ultra 9 285K / Intel ARL / Radeon AI PRO R9700,AMD Radeon AI PRO R9700 [discrete] 0000:04:00.0; Mesa Intel(R) Graphics (ARL) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_full,Combined Full CPU RAM iGPU and dGPU,required,all+all,"CPU 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23; Intel(R) Graphics (ARL); AMD Radeon AI PRO R9700 (RADV GFX1201)",cpu:native; memory:native; gpu_3d:vulkan_compute; vram:vulkan,python_vulkan_compute,24,4,auto,resolved common-safe/native evidence in manifest,near-full target CPU saturation,"aggregate median=100.00%, p10=100.00%, min=100.00%, lowest logical median=100.00%",memory=70%; vram=70%,gpu assigned=39404713519 achieved=39404717056 ratio=1.0; gpu assigned=23946120396 achieved=23946124288 ratio=1.0,durable backend-specific verification/readback/integrity evidence,Intel(R) Graphics (ARL):passes=81 failures=0 | AMD Radeon AI PRO R9700 (RADV GFX1201):passes=2134 failures=0,600,601.9817386719951,warning,VALIDATED WITH EXPLAINED WARNING,High,Complete verified concurrency; runtime-guard/thermal warning did not reach emergency or invalidate allocation,No,results/2026-08-13_14-10-33_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i9-14900 / Intel RPL-S / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:02:00.0; Intel(R) Graphics (RPL-S) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_cpu_stress_ng,CPU stress-ng Verified Saturation,required,logical CPU set,"CPU 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",cpu:stress_ng,stress_ng,32,1,auto,resolved common-safe/native evidence in manifest,near-full target CPU saturation,"aggregate median=100.00%, p10=98.15%, min=95.85%, lowest logical median=100.00%",N/A,N/A,durable backend-specific verification/readback/integrity evidence,"stress_ng:passed=32 failed=0 metrics=[{'bogo_ops': 19441951, 'bogo_ops_per_second_cpu': 1022.48, 'bogo_ops_per_second_real': 32333.17, 'real_time_seconds': 601.3, 'stressor': 'cpu', 'system_time_seconds': 2.55, 'user_time_seconds': 19012.02}]",600,601.3355998190091,pass,VALIDATED,High,"Verified worker progress, complete affinity/worker counts, and near-full measured CPU saturation",No,results/2026-08-13_14-12-23_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i9-14900 / Intel RPL-S / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:02:00.0; Intel(R) Graphics (RPL-S) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_cpu_python,CPU Python Verified Saturation,required,logical CPU set,"CPU 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",cpu:python_fallback,python_fallback,32,1,auto,resolved common-safe/native evidence in manifest,near-full target CPU saturation,"aggregate median=100.00%, p10=100.00%, min=100.00%, lowest logical median=100.00%",N/A,N/A,durable backend-specific verification/readback/integrity evidence,python_fallback:passes=153121 failures=0,600,601.4166313089954,pass,VALIDATED,High,"Verified worker progress, complete affinity/worker counts, and near-full measured CPU saturation",No,results/2026-08-13_14-12-23_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i9-14900 / Intel RPL-S / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:02:00.0; Intel(R) Graphics (RPL-S) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_ram_stress_ng,RAM stress-ng Verification Evidence,required,system RAM,none recorded,memory:stress_ng,none recorded,one per selected GPU / one memory worker as configured,0,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,"memory used median=56.18 GiB, max=56.27 GiB",memory=80%,N/A,durable backend-specific verification/readback/integrity evidence,none,600,606.0293671140098,pass,UNPROVEN DUE TO INSUFFICIENT EVIDENCE,High,Pressure was real but stress-ng was killed before final verified metrics were ingested,Yes,results/2026-08-13_14-12-23_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i9-14900 / Intel RPL-S / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:02:00.0; Intel(R) Graphics (RPL-S) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_ram_python,RAM Python Integrity Evidence,required,system RAM,none recorded,memory:python_fallback,python_fallback,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,"memory used median=6.19 GiB, max=37.00 GiB",memory=80%,memory assigned=32967602176 achieved=32967602176 ratio=1.0,durable backend-specific verification/readback/integrity evidence,python_fallback:passes=16 failures=8048731,600,600.2110897219973,fail,FAILED,High,Deterministic false mismatch when rewrite pattern reached byte value zero,Yes,results/2026-08-13_14-12-23_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i9-14900 / Intel RPL-S / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:02:00.0; Intel(R) Graphics (RPL-S) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_igpu_compute,Integrated GPU Vulkan Compute,required,integrated_all,Intel(R) Graphics (RPL-S),gpu_3d:vulkan_compute,python_vulkan_compute,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,N/A,gpu assigned=75829248 achieved=75833344 ratio=1.0,durable backend-specific verification/readback/integrity evidence,Intel(R) Graphics (RPL-S):passes=909 failures=0,600,600.4856302180124,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-12-23_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i9-14900 / Intel RPL-S / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:02:00.0; Intel(R) Graphics (RPL-S) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_igpu_transfer,Integrated GPU Vulkan Transfer,required,integrated_all,Intel(R) Graphics (RPL-S),gpu_3d:vulkan,python_vulkan_transfer,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,N/A,gpu assigned=75829248 achieved=151658496 ratio=1.0,durable backend-specific verification/readback/integrity evidence,Intel(R) Graphics (RPL-S):passes=14123 failures=0,600,600.2923063220078,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-12-23_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
